"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Belcher Bay Park","Kennedy Town Praya, Kennedy Town","Central & Western","Hong Kong Island","Near the Park office",22.284728,114.129865,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Blake Gardens","Po Hing Fong, Sheung Wan","Central & Western","Hong Kong Island","Near the entrance of Kui In Fong",22.284113,114.148672,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Blake Gardens","Po Hing Fong, Sheung Wan","Central & Western","Hong Kong Island","Soccer Pitch",22.283839,114.148818,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Blake Gardens","Po Hing Fong, Sheung Wan","Central & Western","Hong Kong Island","Next to Volleyball Court",22.284448,114.147988,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Brewin Path Temporary Playground","Brewin Path, Mid Levels, Hong Kong","Central & Western","Hong Kong Island","Near the Toilet Block",22.274653,114.156293,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Caine Lane Garden","Caine Lane, Sheung Wan","Central & Western","Hong Kong Island","Near the fountain",22.283477,114.148271,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Caine Road Garden","Caine Road, Mid-level","Central & Western","Hong Kong Island","Near the Toilet Block",22.282776,114.148425,"Fountain type",3,"00:00","24:00",,"Ambient temperature","Outdoor",
"Central and Western District Promenade—Central Section","Lung Wo Road, Hong Kong","Central & Western","Hong Kong Island","Near public toilet at the promenade",22.284269,114.163197,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Central and Western District Promenade—Central Section","Lung Wo Road, Hong Kong","Central & Western","Hong Kong Island","Near public toilet at pet garden",22.283058,114.167203,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Indoor",
"Central and Western District Promenade—Central Section","Lung Wo Road, Hong Kong","Central & Western","Hong Kong Island","At the Leisure Angling Ancillary Facilities",22.283189,114.167283,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
